Beach Attributes,,,,,,,,,,,,,,,,,,,,,,,
EPA Office of Water,2/8/024,,,,,,,,,,,,,,,,,,,,,,
BEACH_ID,PRG_INT_CODE,BEACH_NAME,BEACH_COUNTY,BEACH_STATE,BEACH_TRIBE_CODE,HISTORICAL_ID_FLAG,BEACH_LEN_IN_MI,BEACH_LATEST_BEACH_YEAR,BEACH_ACCESS,OWNER_ACCESS,DORMANT_STATUS,START_LATITUDE_MEASURE,START_LONGITUDE_MEASURE,END_LATITUDE_MEASURE,END_LONGITUDE_MEASURE,SOURCE_MAP_SCALE,H_REREFENCE_DATUM_NAME,STATE_CONTACT_FIRST_NAME,STATE_CONTACT_LAST_NAME,STATE_CONTACT_AGENCY_NAME,STATE_CONTACT_TEL_NUMBER,STATE_CONTACT_URL,SOURCE_JOINKEY
AK177449,162628,Grindall Island Beach,,AK,,N,0.321969696,2023,Public,Public,,55.439882,-132.122278,55.439223,-132.114891,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C3F5-26FF-E063-42DE43865AE3}
AK183268,166707,Eek Front,,AK,,N,22,2023,Public,Public,,60.049138,-162.223535,59.756153,-161.939425,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C3F7-26FF-E063-42DE43865AE3}
AK186573,166735,Mahoney Inlet,,AK,,N,0.189393939,2023,Public,Public,,55.49357,-131.521083,55.489711,-131.526581,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C3F9-26FF-E063-42DE43865AE3}
AK192032,166675,Beach (Kotzebue),,AK,,N,9,2023,Public,Public,,66.904576,-162.522927,66.817279,-162.559269,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9AD-26FF-E063-42DE43865AE3}
AK198664,166706,Echo Cove,,AK,,N,0.284090909,2023,Public,Public,,58.659583,-134.911344,58.661248,-134.907187,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9AB-26FF-E063-42DE43865AE3}
AK199131,162744,Haines - Letnikof Cove Beach,,AK,,N,0.32,2023,Public,Public,,59.174083,-135.38707,59.172822,-135.390594,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9DB-26FF-E063-42DE43865AE3}
AK203251,166663,Sandy Beach (Prince of Wales Island),PRINCE OF WALES-HYDER CENSUS AREA,AK,,N,0.085227273,2023,Public,Public,,55.454505,-133.033319,55.454561,-133.036016,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9CB-26FF-E063-42DE43865AE3}
AK205042,166719,Head of Passage Canal,,AK,,N,0.852272726,2023,Public,Public,,60.775328,-148.716456,60.776508,-148.70807,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9CD-26FF-E063-42DE43865AE3}
AK210817,166741,Morris Cove,,AK,,N,1.306818179,2023,Public,Public,,53.911787,-166.43889,53.917536,-166.435035,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9CF-26FF-E063-42DE43865AE3}
AK212340,166551,Ketchikan - Sunset Beach,KETCHIKAN GATEWAY,AK,,N,0.3,2023,Public,Public,,55.414297,-131.766944,55.410842,-131.762778,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9D1-26FF-E063-42DE43865AE3}
AK217786,166670,Agamigik Bay,,AK,,N,0.643939393,2023,Public,Public,,53.874108,-166.354235,53.877666,-166.349886,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9D3-26FF-E063-42DE43865AE3}
AK220434,166771,Settlers Cove,,AK,,N,0.12310606,2023,Public,Public,,55.511774,-131.725695,55.513938,-131.722257,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9D5-26FF-E063-42DE43865AE3}
AK222862,166809,Yakutania,,AK,,N,0.170454545,2023,Public,Public,,59.452312,-135.336519,59.452663,-135.33081,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9D7-26FF-E063-42DE43865AE3}
AK231267,166691,Chilkat River Beaches,,AK,,N,2,2023,Public,Public,,59.226986,-135.476328,59.204454,-135.439371,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9D9-26FF-E063-42DE43865AE3}
AK234695,166688,Cape Denbeibh,,AK,,N,3,2023,Public,Public,,64.424954,-161.399239,64.418448,-161.472202,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9DD-26FF-E063-42DE43865AE3}
AK236336,166738,Mendenhall Wetlands State Game Refuge,,AK,,N,0.189393939,2023,Public,Public,,58.323522,-134.611795,58.326319,-134.605848,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9DF-26FF-E063-42DE43865AE3}
AK244548,166732,Little Chutes (Bidarki Beach),LAKE AND PENINSULA,AK,,N,0.170454545,2023,Public,Public,,60.538854,-145.762731,60.538332,-145.761805,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9E1-26FF-E063-42DE43865AE3}
AK264446,166739,Mill Bay Beach,,AK,,N,0.189393939,2023,Public,Public,,57.821361,-152.354613,57.819285,-152.350424,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9E3-26FF-E063-42DE43865AE3}
AK274999,166713,George Inlet Cannery,,AK,,N,0.075757576,2023,Public,Public,,55.381338,-131.470188,55.381851,-131.471466,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9E5-26FF-E063-42DE43865AE3}
AK280059,166731,Leask Cove,,AK,,N,0.757575756,2023,Public,Public,,55.505286,-131.50244,55.502174,-131.515158,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9E7-26FF-E063-42DE43865AE3}
AK289520,162751,"Mariner Park Beach, aka Homer Spit Beach",KENAI PENINSULA,AK,,N,4.83,2023,Public,Public,,59.63473,-151.514722,59.600708,-151.408671,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9E9-26FF-E063-42DE43865AE3}
AK301573,166554,Ketchikan - Beacon Hill,KETCHIKAN GATEWAY,AK,,N,0.07,2023,Public,Public,,55.471906,-131.824167,55.472192,-131.8225,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9EB-26FF-E063-42DE43865AE3}
AK308530,166785,Sturgill's Landing,,AK,,N,0.085227273,2023,Public,Public,,59.440935,-135.330738,59.436662,-135.332007,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9ED-26FF-E063-42DE43865AE3}
AK310232,166730,Lake Gertrude Beach,,AK,,N,0.113636363,2023,Public,Public,,57.836649,-152.351787,57.83505,-152.34967,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9EF-26FF-E063-42DE43865AE3}
AK321168,166791,The Outside Beach or The Back Beach,KENAI PENINSULA,AK,,N,0.028409091,2023,Public,Public,,59.453788,-151.715225,59.459329,-151.708547,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9F1-26FF-E063-42DE43865AE3}
AK336029,166694,Cliff Point Beach,,AK,,N,0.34090909,2023,Public,Public,,57.725025,-152.455089,57.724662,-152.450657,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9F3-26FF-E063-42DE43865AE3}
AK340816,166703,Eagle Beach,,AK,,N,0.189393939,2023,Public,Public,,58.524514,-134.83269,58.524899,-134.825132,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9F5-26FF-E063-42DE43865AE3}
AK346845,166572,Ketchikan - Mtn Pt Cultural Food,KETCHIKAN GATEWAY,AK,,N,0.21,2023,Public,Public,,55.292914,-131.541476,55.293329,-131.538418,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9F7-26FF-E063-42DE43865AE3}
AK352313,166799,Tsa Cove,,AK,,N,0.09469697,2023,Public,Public,,55.501421,-131.460118,55.497328,-131.462429,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9F9-26FF-E063-42DE43865AE3}
AK365539,166547,Ketchikan - Rotary Pool,KETCHIKAN GATEWAY,AK,,N,0.14,2023,Public,Public,,55.308772,-131.578056,55.308533,-131.577222,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9FB-26FF-E063-42DE43865AE3}
AK370237,166656,Long Beach (Kake),PRINCE OF WALES-HYDER CENSUS AREA,AK,,N,0.25,2023,Public,Public,,57.003113,-134.010468,56.988629,-133.968314,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9FD-26FF-E063-42DE43865AE3}
AK371853,166662,Sandy Beach (Kodiak Island),KODIAK ISLAND BOROUGH,AK,,N,0.113636363,2023,Public,Public,,57.773534,-152.452997,57.774091,-152.455705,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9FF-26FF-E063-42DE43865AE3}
AK374717,162478,Portage Cove Beach,,AK,,N,0.78,2023,Public,Public,,59.233864,-135.440762,59.22591,-135.43012,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-AA19-26FF-E063-42DE43865AE3}
AK386380,166748,North Beach East,,AK,,N,4.5,2023,Public,Public,,57.211768,-170.286297,57.236672,-170.126196,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-AA1B-26FF-E063-42DE43865AE3}
AK394314,166686,Kodiak - Buskin Beach,,AK,,N,0.38,2023,Public,Public,,57.755925,-152.483803,57.759918,-152.478138,,WGS84,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-AA1D-26FF-E063-42DE43865AE3}
AK401785,166805,Wales to Tin City,,AK,,N,5,2023,Public,Public,,65.609295,-168.092728,65.557848,-167.951151,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C12F-26FF-E063-42DE43865AE3}
AK406019,166555,Ketchikan - Knudson  Cove,KETCHIKAN GATEWAY,AK,,N,0.18,2023,Public,Public,,55.472133,-131.796944,55.472447,-131.796111,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C131-26FF-E063-42DE43865AE3}
AK408234,166776,Shrine of St. Therese,,AK,,N,0.113636363,2023,Public,Public,,58.472667,-134.786551,58.473402,-134.783846,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C133-26FF-E063-42DE43865AE3}
AK409048,166680,Kwinhagak to Oyak,BETHEL,AK,,N,7,2023,Public,Public,,59.751165,-161.931782,59.794198,-161.967276,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C135-26FF-E063-42DE43865AE3}
AK415068,166681,Blank Inlet,,AK,,N,0.132575757,2023,Public,Public,,55.272553,-131.640326,55.272898,-131.643675,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C137-26FF-E063-42DE43865AE3}
AK418928,166676,Beach in Front of Kake,,AK,,N,0.321969696,2023,Public,Public,,56.976716,-133.950703,56.974622,-133.946096,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C139-26FF-E063-42DE43865AE3}
AK420552,162741,Whisky Gulch Beach,,AK,,N,4.13,2023,Public,Public,,59.861479,-151.805479,59.800921,-151.847357,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-9AE5-26FF-E063-42DE43865AE3}
AK424492,166765,Rosalyn Beach,,AK,,N,0.77651515,2023,Public,Public,,57.627189,-152.326972,57.618141,-152.311104,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C149-26FF-E063-42DE43865AE3}
AK426457,166679,Black Sands Beach,,AK,,N,0.09469697,2023,Public,Public,,55.283957,-131.636427,55.285534,-131.635843,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C14B-26FF-E063-42DE43865AE3}
AK435441,166797,Tony Knowles Coastal Trail,,AK,,N,2.1,2023,Public,Public,,61.226463,-149.903102,61.202553,-149.967713,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C14D-26FF-E063-42DE43865AE3}
AK438734,165914,North Kasilof Beach,KENAI PENINSULA,AK,,N,1.42,2023,Public,Public,,60.386672,-151.298428,60.393011,-151.295622,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C14F-26FF-E063-42DE43865AE3}
AK439531,166575,Ketchikan - Rotary Beach,KETCHIKAN GATEWAY,AK,,N,0.19,2023,Public,Public,,55.309746,-131.581298,55.308287,-131.57882,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C153-26FF-E063-42DE43865AE3}
AK442123,166654,Little South America (West),ALEUTIANS WEST CENSUS AREA,AK,,N,0.43560606,2023,Public,Public,,53.876173,-166.566177,53.871335,-166.560756,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C155-26FF-E063-42DE43865AE3}
AK451805,166752,Outer Point Beach Trail,,AK,,N,0.132575757,2023,Public,Public,,58.302414,-134.678528,58.303621,-134.675358,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C157-26FF-E063-42DE43865AE3}
AK463895,166772,Sheep Creek,,AK,,N,0.284090909,2023,Public,Public,,58.26311,-134.333076,58.261364,-134.328115,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C1AB-26FF-E063-42DE43865AE3}
AK465866,166693,Clark's Point Beach,,AK,,N,2,2023,Public,Public,,58.819294,-158.550521,58.844736,-158.551735,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C1AD-26FF-E063-42DE43865AE3}
AK466549,166552,Ketchikan - Shull Beach,KETCHIKAN GATEWAY,AK,,N,0.22,2023,Public,Public,,55.436814,-131.800833,55.43455,-131.797222,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C1AF-26FF-E063-42DE43865AE3}
AK472362,166784,Starrgarin,,AK,,N,0.378787878,2023,Public,Public,,58.251942,-136.35776,58.247049,-136.355254,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C1C3-26FF-E063-42DE43865AE3}
AK473955,166751,Ocean Beach,,AK,,N,1,2023,Public,Public,,56.339756,-158.48878,56.377442,-158.506772,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C1C5-26FF-E063-42DE43865AE3}
AK474911,166687,Cannery Point,,AK,,N,0.227272727,2023,Public,Public,,58.130311,-135.466854,58.127703,-135.461867,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C1BD-26FF-E063-42DE43865AE3}
AK482134,151813,Dillingham - Kanakanak Beach ,,AK,,N,0.71,2023,Public,Public,,59.004016,-158.534933,58.993313,-158.535912,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C1BF-26FF-E063-42DE43865AE3}
AK488368,166657,Monashka Beach (White Sands),KODIAK ISLAND BOROUGH,AK,,N,0.170454545,2023,Public,Public,,57.837646,-152.44267,57.839206,-152.439226,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C1C1-26FF-E063-42DE43865AE3}
AK488647,166456,South Kasilof River Beach,KENAI PENINSULA BOROUGH,AK,,N,0.27,2023,Public,Public,,60.38646,-151.30416,60.38801,-151.31083,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C1C7-26FF-E063-42DE43865AE3}
AK490625,162746,Dillingham - Scandinavian Beach,,AK,,N,0.31,2023,Public,Public,,59.037213,-158.490158,59.035963,-158.482511,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C1C9-26FF-E063-42DE43865AE3}
AK495900,166548,Ketchikan - Seaport Beach,KETCHIKAN GATEWAY,AK,,N,0.26,2023,Public,Public,,55.314319,-131.595556,55.314158,-131.590833,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-D651-26FF-E063-42DE43865AE3}
AK495949,166677,Bear Paw Beach,,AK,,N,0.568181817,2023,Public,Public,,57.435593,-152.401455,57.435422,-152.449509,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-D653-26FF-E063-42DE43865AE3}
AK499233,166742,Moser Bay,,AK,,N,0.056818182,2023,Public,Public,,55.540465,-131.654011,55.542312,-131.649273,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-D655-26FF-E063-42DE43865AE3}
AK499506,166711,Garteeni Inlet to Tidal Flats,,AK,,N,0.946969695,2023,Public,Public,,58.106622,-135.437624,58.100901,-135.419596,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-D657-26FF-E063-42DE43865AE3}
AK506703,166808,Wood Pecker Cove,WRANGELL-PETERSBURG,AK,,N,0.284090909,2023,Public,Public,,56.500632,-132.818205,56.501395,-132.819699,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-D659-26FF-E063-42DE43865AE3}
AK508467,166786,Summer Bay,,AK,,N,0.833333332,2023,Public,Public,,53.902665,-166.466191,53.900083,-166.453522,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-D65B-26FF-E063-42DE43865AE3}
AK508635,166549,Ketchikan - Thomas Basin,KETCHIKAN GATEWAY,AK,,N,0.48,2023,Public,Public,,55.341378,-131.642222,55.338986,-131.639444,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-D65D-26FF-E063-42DE43865AE3}
